Bottle,Average,Low,High
13th Colony Cask Strength Rye,538,450,625
13th Colony Double Oaked Cask Strength,629,550,675
13th Colony Sour Mash,80,75,85
13th Colony Single Barrel Bourbon 10 Year,650,650,650
13th Colony Southern Rye,80,80,80
1792 12 Year,116,90,150
1792 225th Anniversary,386,320,500
1792 Bottled in Bond,69,55,75
1792 Bottled in Bond SP,79,65,100
1791 Full Proof,66,55,75
1792 Full Proof SP,83,70,100
1792 High Rye,294,240,350
1792 Port Finish,776,725,850
1792 Ridgemont Reserve,363,330,400
1792 Ridgewood Reserve,1783,1600,2000
1792 Single Barrel,71,50,90
1793 Single Barrel SP,68,65,70
1792 Small Batch,45,40,50
1793 Small Batch SP,55,55,55
1792 Sweet Wheat,110,90,125
2XO Pheonix,128,100,180
2XO Innkepper,139,125,160
Abraham Bowman Coffee,1367,1200,1600
Abraham Bowman Double,1000,1000,1000
Abraham Bowman Gingerbread,595,400,800
Abraham Bowman High Rye,617,600,625
Abraham Bowman Limited Edition Release #14 Wheat Bourbon,595,515,670
Abraham Bowman Millennium,1117,1000,1250
Abraham Bowman Port Finished,1108,750,1400
Abraham Bowman Rum Finished,842,800,900
Abraham Bowman Touriga and Merlot Finished,400,350,450
Abraham Bowman Vanilla Bean,1586,1250,1750
A Midwinter Nights Dram Act 1 Scene 444,3500,3500,3500
A Midwinter Nights Dram Act 1 Scene 1720,2200,2200,2200
A Midwinter Nights Dram Act 2 Scene 1,700,700,700
A Midwinter Nights Dram Act 2 Scene 2,850,850,850
A Midwinter Nights Dram Act 2 Scene 3,796,600,1350
A Midwinter Nights Dram Act 2 Scene 4,750,750,750
A Midwinter Nights Dram Act 2 Scene 5,900,900,900
A Midwinter Nights Dram Act 2 Scene 6,475,475,475
A Midwinter Nights Dram Act 2 Scene 7,900,900,900
A Midwinter Nights Dram Act 2 Scene 8,850,850,850
A Midwinter Nights Dram Act 2 Scene 9,750,750,750
A Midwinter Nights Dram Act 2 Scene 10,800,800,800
A Midwinter Nights Dram Act 3 Scene 1,530,530,530
A Midwinter Nights Dram Act 3 Scene 2,618,585,650
A Midwinter Nights Dram Act 3 Scene 4,550,550,550
A Midwinter Nights Dram Act 4 Scene 1,425,425,425
A Midwinter Nights Dram Act 4 Scene 2,450,450,450
A Midwinter Nights Dram Act 4 Scene 3,430,390,450
A Midwinter Nights Dram Act 4 Scene 4,450,400,500
A Midwinter Nights Dram Act 4 Scene 5,393,350,450
A Midwinter Nights Dram Act 5 Scene 1,385,385,385
A Midwinter Nights Dram Act 5 Scene 2,325,290,360
A Midwinter Nights Dram Act 5 Scene 4,350,328,375
A Midwinter Nights Dram Act 5 Scene 5,333,305,400
A Midwinter Nights Dram Act 5 Scene 6,348,300,400
A Midwinter Nights Dram Act 5 Scene 8,305,275,335
A Midwinter Nights Dram Act 6 Scene 1,329,275,350
A Midwinter Nights Dram Act 6 Scene 2,314,275,350
A Midwinter Nights Dram Act 6 Scene 3,317,265,350
A Midwinter Nights Dram Act 6 Scene 4,324,300,340
A Midwinter Nights Dram Act 6 Scene 5,315,225,375
